Sector,Fila,Asiento,Precio,Estado
C,1,1,25000,Libre
C,1,2,25000,Libre
C,1,3,25000,Libre
C,1,4,25000,Libre
C,1,5,25000,Libre
C,1,6,25000,Libre
C,1,7,25000,Libre
C,1,8,25000,Libre
C,1,9,25000,Libre
C,1,10,25000,Libre
C,1,11,25000,Libre
C,1,12,25000,Libre
C,1,13,25000,Libre
C,1,14,25000,Libre
C,2,1,25000,Libre
C,2,2,25000,Libre
C,2,3,25000,Libre
C,2,4,25000,Libre
C,2,5,25000,Libre
C,2,6,25000,Libre
C,2,7,25000,Libre
C,2,8,25000,Libre
C,2,9,25000,Libre
C,2,10,25000,Libre
C,2,11,25000,Libre
C,2,12,25000,Libre
C,2,13,25000,Libre
C,2,14,25000,Libre
C,2,15,25000,Libre
C,2,16,25000,Libre
C,3,1,25000,Libre
C,3,2,25000,Libre
C,3,3,25000,Libre
C,3,4,25000,Libre
C,3,5,25000,Libre
C,3,6,25000,Libre
C,3,7,25000,Libre
C,3,8,25000,Libre
C,3,9,25000,Libre
C,3,10,25000,Libre
C,3,11,25000,Libre
C,3,12,25000,Libre
C,3,13,25000,Libre
C,3,14,25000,Libre
C,3,15,25000,Libre
C,3,16,25000,Libre
C,4,1,25000,Libre
C,4,2,25000,Libre
C,4,3,25000,Libre
C,4,4,25000,Libre
C,4,5,25000,Libre
C,4,6,25000,Libre
C,4,7,25000,Libre
C,4,8,25000,Libre
C,4,9,25000,Libre
C,4,10,25000,Libre
C,4,11,25000,Libre
C,4,12,25000,Libre
C,4,13,25000,Libre
C,4,14,25000,Libre
C,4,15,25000,Libre
C,4,16,25000,Libre
C,4,17,25000,Libre
C,5,1,25000,Libre
C,5,2,25000,Libre
C,5,3,25000,Libre
C,5,4,25000,Libre
C,5,5,25000,Libre
C,5,6,25000,Libre
C,5,7,25000,Libre
C,5,8,25000,Libre
C,5,9,25000,Libre
C,5,10,25000,Libre
C,5,11,25000,Libre
C,5,12,25000,Libre
C,5,13,25000,Libre
C,5,14,25000,Libre
C,5,15,25000,Libre
C,5,16,25000,Libre
C,5,17,25000,Libre
C,6,1,25000,Libre
C,6,2,25000,Libre
C,6,3,25000,Libre
C,6,4,25000,Libre
C,6,5,25000,Libre
C,6,6,25000,Libre
C,6,7,25000,Libre
C,6,8,25000,Libre
C,6,9,25000,Libre
C,6,10,25000,Libre
C,6,11,25000,Libre
C,6,12,25000,Libre
C,6,13,25000,Libre
C,6,14,25000,Libre
C,6,15,25000,Libre
C,6,16,25000,Libre
C,6,17,25000,Libre
C,7,1,20000,Libre
C,7,2,20000,Libre
C,7,3,20000,Libre
C,7,4,20000,Libre
C,7,5,20000,Libre
C,7,6,20000,Libre
C,7,7,20000,Libre
C,7,8,20000,Libre
C,7,9,20000,Libre
C,7,10,20000,Libre
C,7,11,20000,Libre
C,7,12,20000,Libre
C,7,13,20000,Libre
C,7,14,20000,Libre
C,7,15,20000,Libre
C,7,16,20000,Libre
C,7,17,20000,Libre
C,7,18,20000,Libre
C,8,1,20000,Libre
C,8,2,20000,Libre
C,8,3,20000,Libre
C,8,4,20000,Libre
C,8,5,20000,Libre
C,8,6,20000,Libre
C,8,7,20000,Libre
C,8,8,20000,Libre
C,8,9,20000,Libre
C,8,10,20000,Libre
C,8,11,20000,Libre
C,8,12,20000,Libre
C,8,13,20000,Libre
C,8,14,20000,Libre
C,8,15,20000,Libre
C,8,16,20000,Libre
C,8,17,20000,Libre
C,8,18,20000,Libre
C,8,19,20000,Libre
C,9,1,20000,Libre
C,9,2,20000,Libre
C,9,3,20000,Libre
C,9,4,20000,Libre
C,9,5,20000,Libre
C,9,6,20000,Libre
C,9,7,20000,Libre
C,9,8,20000,Libre
C,9,9,20000,Libre
C,9,10,20000,Libre
C,9,11,20000,Libre
C,9,12,20000,Libre
C,9,13,20000,Libre
C,9,14,20000,Libre
C,9,15,20000,Libre
C,9,16,20000,Libre
C,9,17,20000,Libre
C,9,18,20000,Libre
C,9,19,20000,Libre
C,9,20,20000,Libre
C,10,1,20000,Libre
C,10,2,20000,Libre
C,10,3,20000,Libre
C,10,4,20000,Libre
C,10,5,20000,Libre
C,10,6,20000,Libre
C,10,7,20000,Libre
C,10,8,20000,Libre
C,10,9,20000,Libre
C,10,10,20000,Libre
C,10,11,20000,Libre
C,10,12,20000,Libre
C,10,13,20000,Libre
C,10,14,20000,Libre
C,10,15,20000,Libre
C,10,16,20000,Libre
C,10,17,20000,Libre
C,10,18,20000,Libre
C,10,19,20000,Libre
C,10,20,20000,Libre
C,10,21,20000,Libre
C,11,1,20000,Libre
C,11,2,20000,Libre
C,11,3,20000,Libre
C,11,4,20000,Libre
C,11,5,20000,Libre
C,11,6,20000,Libre
C,11,7,20000,Libre
C,11,8,20000,Libre
C,11,9,20000,Libre
C,11,10,20000,Libre
C,11,11,20000,Libre
C,11,12,20000,Libre
C,11,13,20000,Libre
C,11,14,20000,Libre
C,11,15,20000,Libre
C,11,16,20000,Libre
C,11,17,20000,Libre
C,11,18,20000,Libre
C,11,19,20000,Libre
C,11,20,20000,Libre
C,11,21,20000,Libre
C,12,1,20000,Libre
C,12,2,20000,Libre
C,12,3,20000,Libre
C,12,4,20000,Libre
C,12,5,20000,Libre
C,12,6,20000,Libre
C,12,7,20000,Libre
C,12,8,20000,Libre
C,12,9,20000,Libre
C,12,10,20000,Libre
C,12,11,20000,Libre
C,12,12,20000,Libre
C,12,13,20000,Libre
C,12,14,20000,Libre
C,12,15,20000,Libre
C,12,16,20000,Libre
C,12,17,20000,Libre
C,12,18,20000,Libre
C,12,19,20000,Libre
C,12,20,20000,Libre
C,12,21,20000,Libre
C,13,1,18000,Libre
C,13,2,18000,Libre
C,13,3,18000,Libre
C,13,4,18000,Libre
C,13,5,18000,Libre
C,13,6,18000,Libre
C,13,7,18000,Libre
C,13,8,18000,Libre
C,13,9,18000,Libre
C,13,10,18000,Libre
C,13,11,18000,Libre
C,13,12,18000,Libre
C,13,13,18000,Libre
C,13,14,18000,Libre
C,13,15,18000,Libre
C,13,16,18000,Libre
C,13,17,18000,Libre
C,13,18,18000,Libre
C,13,19,18000,Libre
C,13,20,18000,Libre
C,13,21,18000,Libre
C,14,1,18000,Libre
C,14,2,18000,Libre
C,14,3,18000,Libre
C,14,4,18000,Libre
C,14,5,18000,Libre
C,14,6,18000,Libre
C,14,7,18000,Libre
C,14,8,18000,Libre
C,14,9,18000,Libre
C,14,10,18000,Libre
C,14,11,18000,Libre
C,14,12,18000,Libre
C,14,13,18000,Libre
C,14,14,18000,Libre
C,14,15,18000,Libre
C,14,16,18000,Libre
C,14,17,18000,Libre
C,14,18,18000,Libre
C,14,19,18000,Libre
C,14,20,18000,Libre
C,14,21,18000,Libre
C,15,1,18000,Libre
C,15,2,18000,Libre
C,15,3,18000,Libre
C,15,4,18000,Libre
C,15,5,18000,Libre
C,15,6,18000,Libre
C,15,7,18000,Libre
C,15,8,18000,Libre
C,15,9,18000,Libre
C,15,10,18000,Libre
C,15,11,18000,Libre
C,15,12,18000,Libre
C,15,13,18000,Libre
C,15,14,18000,Libre
C,15,15,18000,Libre
C,15,16,18000,Libre
C,15,17,18000,Libre
C,15,18,18000,Libre
C,15,19,18000,Libre
C,15,20,18000,Libre
D,1,1,25000,Libre
D,1,2,25000,Libre
D,1,3,25000,Libre
D,1,4,25000,Libre
D,1,5,25000,Libre
D,2,1,25000,Libre
D,2,2,25000,Libre
D,2,3,25000,Libre
D,2,4,25000,Libre
D,2,5,25000,Libre
D,2,6,25000,Libre
D,3,1,25000,Libre
D,3,2,25000,Libre
D,3,3,25000,Libre
D,3,4,25000,Libre
D,3,5,25000,Libre
D,3,6,25000,Libre
D,4,1,25000,Libre
D,4,2,25000,Libre
D,4,3,25000,Libre
D,4,4,25000,Libre
D,4,5,25000,Libre
D,4,6,25000,Libre
D,5,1,25000,Libre
D,5,2,25000,Libre
D,5,3,25000,Libre
D,5,4,25000,Libre
D,5,5,25000,Libre
D,5,6,25000,Libre
D,6,1,25000,Libre
D,6,2,25000,Libre
D,6,3,25000,Libre
D,6,4,25000,Libre
D,6,5,25000,Libre
D,6,6,25000,Libre
D,7,1,20000,Libre
D,7,2,20000,Libre
D,7,3,20000,Libre
D,7,4,20000,Libre
D,7,5,20000,Libre
D,7,6,20000,Libre
D,8,1,20000,Libre
D,8,2,20000,Libre
D,8,3,20000,Libre
D,8,4,20000,Libre
D,8,5,20000,Libre
D,8,6,20000,Libre
D,9,1,20000,Libre
D,9,2,20000,Libre
D,9,3,20000,Libre
D,9,4,20000,Libre
D,9,5,20000,Libre
D,9,6,20000,Libre
D,10,1,20000,Libre
D,10,2,20000,Libre
D,10,3,20000,Libre
D,10,4,20000,Libre
D,10,5,20000,Libre
D,10,6,20000,Libre
D,11,1,20000,Libre
D,11,2,20000,Libre
D,11,3,20000,Libre
D,11,4,20000,Libre
D,11,5,20000,Libre
D,11,6,20000,Libre
D,12,1,20000,Libre
D,12,2,20000,Libre
D,12,3,20000,Libre
D,12,4,20000,Libre
D,12,5,20000,Libre
D,12,6,20000,Libre
D,13,1,18000,Libre
D,13,2,18000,Libre
D,13,3,18000,Libre
D,13,4,18000,Libre
D,13,5,18000,Libre
D,13,6,18000,Libre
D,14,1,18000,Libre
D,14,2,18000,Libre
D,14,3,18000,Libre
D,14,4,18000,Libre
D,14,5,18000,Libre
D,14,6,18000,Libre
D,15,1,18000,Libre
D,15,2,18000,Libre
D,15,3,18000,Libre
D,15,4,18000,Libre
D,15,5,18000,Libre
D,16,1,18000,Libre
D,16,2,18000,Libre
D,16,3,18000,Libre
D,16,4,18000,Libre
D,17,1,18000,Libre
D,17,2,18000,Libre
D,17,3,18000,Libre
D,17,4,18000,Libre
D,18,1,18000,Libre
D,18,2,18000,Libre
D,18,3,18000,Libre
D,18,4,18000,Libre
I,1,1,25000,Libre
I,1,2,25000,Libre
I,1,3,25000,Libre
I,1,4,25000,Libre
I,1,5,25000,Libre
I,2,1,25000,Libre
I,2,2,25000,Libre
I,2,3,25000,Libre
I,2,4,25000,Libre
I,2,5,25000,Libre
I,2,6,25000,Libre
I,3,1,25000,Libre
I,3,2,25000,Libre
I,3,3,25000,Libre
I,3,4,25000,Libre
I,3,5,25000,Libre
I,3,6,25000,Libre
I,4,1,25000,Libre
I,4,2,25000,Libre
I,4,3,25000,Libre
I,4,4,25000,Libre
I,4,5,25000,Libre
I,4,6,25000,Libre
I,5,1,25000,Libre
I,5,2,25000,Libre
I,5,3,25000,Libre
I,5,4,25000,Libre
I,5,5,25000,Libre
I,5,6,25000,Libre
I,5,7,25000,Libre
I,6,1,25000,Libre
I,6,2,25000,Libre
I,6,3,25000,Libre
I,6,4,25000,Libre
I,6,5,25000,Libre
I,6,6,25000,Libre
I,6,7,25000,Libre
I,7,1,20000,Libre
I,7,2,20000,Libre
I,7,3,20000,Libre
I,7,4,20000,Libre
I,7,5,20000,Libre
I,7,6,20000,Libre
I,7,7,20000,Libre
I,8,1,20000,Libre
I,8,2,20000,Libre
I,8,3,20000,Libre
I,8,4,20000,Libre
I,8,5,20000,Libre
I,8,6,20000,Libre
I,8,7,20000,Libre
I,9,1,20000,Libre
I,9,2,20000,Libre
I,9,3,20000,Libre
I,9,4,20000,Libre
I,9,5,20000,Libre
I,9,6,20000,Libre
I,9,7,20000,Libre
I,10,1,20000,Libre
I,10,2,20000,Libre
I,10,3,20000,Libre
I,10,4,20000,Libre
I,10,5,20000,Libre
I,10,6,20000,Libre
I,10,7,20000,Libre
I,11,1,20000,Libre
I,11,2,20000,Libre
I,11,3,20000,Libre
I,11,4,20000,Libre
I,11,5,20000,Libre
I,11,6,20000,Libre
I,11,7,20000,Libre
I,12,1,20000,Libre
I,12,2,20000,Libre
I,12,3,20000,Libre
I,12,4,20000,Libre
I,12,5,20000,Libre
I,12,6,20000,Libre
I,12,7,20000,Libre
I,13,1,18000,Libre
I,13,2,18000,Libre
I,13,3,18000,Libre
I,13,4,18000,Libre
I,13,5,18000,Libre
I,13,6,18000,Libre
I,13,7,18000,Libre
I,14,1,18000,Libre
I,14,2,18000,Libre
I,14,3,18000,Libre
I,14,4,18000,Libre
I,14,5,18000,Libre
I,14,6,18000,Libre
I,14,7,18000,Libre
I,15,1,18000,Libre
I,15,2,18000,Libre
I,15,3,18000,Libre
I,15,4,18000,Libre
I,15,5,18000,Libre
I,15,6,18000,Libre
I,16,1,18000,Libre
I,16,2,18000,Libre
I,16,3,18000,Libre
I,16,4,18000,Libre
I,16,5,18000,Libre
I,17,1,18000,Libre
I,17,2,18000,Libre
I,17,3,18000,Libre
I,17,4,18000,Libre
I,17,5,18000,Libre
I,18,1,18000,Libre
I,18,2,18000,Libre
I,18,3,18000,Libre
I,18,4,18000,Libre
I,18,5,18000,Libre
I,18,6,18000,Libre
